"iso3c","period","concern_self","concern_society","cis_cases","day"
"AFG",4,4.31884057971014,4.77777777777778,53,"2020-04-07"
"AFG",5,3.93333333333333,4.29166666666667,46,"2020-04-12"
"ALB",1,4.41954022988506,4.62962962962963,38,"2020-03-31"
"ALB",4,4.08854166666667,4.5,51,"2020-04-07"
"ALB",5,4.5,4.375,16,"2020-04-12"
"ARE",2,4.94444444444444,4.875,13,"2020-04-01"
"ARE",3,4.08064516129032,4.63333333333333,36,"2020-04-04"
"ARE",4,4.49206349206349,4.64285714285714,28,"2020-04-07"
"ARE",5,4.68627450980392,4.91176470588235,18,"2020-04-12"
"ARG",2,4.94736842105263,4.76315789473684,19,"2020-04-01"
"ARG",3,4.74439347604485,4.97388632872504,2194,"2020-04-04"
"ARG",4,4.76770152505447,5.05115511551155,699,"2020-04-07"
"ARG",5,4.90363349131122,5.0260663507109,242,"2020-04-12"
"ARG",6,4.71490094745909,4.89050131926121,457,"2020-04-19"
"AUS",1,4.39393939393939,5.27272727272727,24,"2020-03-31"
"AUS",2,4.09848484848485,4.70454545454545,27,"2020-04-01"
"AUS",3,4.59701492537313,5.14925373134328,72,"2020-04-04"
"AUS",4,4.68115942028986,5.26086956521739,27,"2020-04-07"
"AUS",5,4.79333333333333,5.07,59,"2020-04-12"
"AUS",6,4.44444444444444,5.23333333333333,20,"2020-04-19"
"AUT",1,3.88888888888889,5,25,"2020-03-31"
"AUT",2,4.2,4.9,29,"2020-04-01"
"AUT",3,4.38888888888889,4.76041666666667,56,"2020-04-04"
"AUT",4,3.89010989010989,4.63186813186813,110,"2020-04-07"
"AUT",5,4.10344827586207,4.72413793103448,38,"2020-04-12"
"AUT",6,3.97916666666667,4.72916666666667,27,"2020-04-19"
"BEL",1,4.76666666666667,4.95,23,"2020-03-31"
"BEL",2,4.51260504201681,4.55882352941176,132,"2020-04-01"
"BEL",3,4.36968085106383,4.70161290322581,208,"2020-04-04"
"BEL",4,4.09649122807018,4.61842105263158,47,"2020-04-07"
"BEL",5,4.63565891472868,4.86046511627907,48,"2020-04-12"
"BEL",6,4.43956043956044,4.56043956043956,100,"2020-04-19"
"BGD",1,4.94715447154472,4.97560975609756,54,"2020-03-31"
"BGD",2,4.67543859649123,5.10526315789474,27,"2020-04-01"
"BGD",3,4.76829268292683,4.8780487804878,99,"2020-04-04"
"BGD",4,4.95567375886525,4.93617021276596,127,"2020-04-07"
"BGD",5,4.75,4.97222222222222,106,"2020-04-12"
"BGR",1,4.71014492753623,4.91304347826087,25,"2020-03-31"
"BGR",3,4.30769230769231,4.30769230769231,16,"2020-04-04"
"BGR",4,4.20289855072464,4.76086956521739,23,"2020-04-07"
"BGR",5,4.31705227077978,4.48031496062992,447,"2020-04-12"
"BGR",6,4.29444444444444,4.34795321637427,213,"2020-04-19"
"BIH",2,4.17532467532468,4.25,343,"2020-04-01"
"BIH",3,4.17926509186352,4.11446740858506,713,"2020-04-04"
"BIH",4,4.21910112359551,4.22727272727273,105,"2020-04-07"
"BIH",5,3.83333333333333,3.52083333333333,27,"2020-04-12"
"BLR",3,3.73333333333333,3.75,11,"2020-04-04"
"BRA",1,4.58333333333333,5.4375,9,"2020-03-31"
"BRA",2,4.87142857142857,5.16428571428571,80,"2020-04-01"
"BRA",3,4.99618320610687,5.37692307692308,148,"2020-04-04"
"BRA",4,4.981220657277,5.20714285714286,154,"2020-04-07"
"BRA",5,4.87606837606838,5.18589743589744,94,"2020-04-12"
"BRA",6,5.10984848484848,5.26744186046512,103,"2020-04-19"
"BRN",1,4.31205673758865,4.76595744680851,54,"2020-03-31"
"BRN",2,4.40866873065016,4.66666666666667,367,"2020-04-01"
"BRN",3,4.42251199040767,4.56636363636364,1236,"2020-04-04"
"BRN",4,4.46315120711563,4.55702319587629,1766,"2020-04-07"
"BRN",5,4.45603517186251,4.61778846153846,471,"2020-04-12"
"CAN",1,4.70760233918129,4.94736842105263,65,"2020-03-31"
"CAN",2,4.80911680911681,5.02991452991453,131,"2020-04-01"
"CAN",3,4.59375,4.98958333333333,114,"2020-04-04"
"CAN",4,4.85823754789272,5.13218390804598,96,"2020-04-07"
"CAN",5,4.42753623188406,5.02173913043478,24,"2020-04-12"
"CAN",6,4.45,4.65,22,"2020-04-19"
"CHE",1,4.28333333333333,4.9,26,"2020-03-31"
"CHE",2,4.40773809523809,4.80803571428571,131,"2020-04-01"
"CHE",3,3.80246913580247,4.54912663755459,502,"2020-04-04"
"CHE",4,3.84067796610169,4.59491525423729,316,"2020-04-07"
"CHE",5,3.9822695035461,4.55376344086022,102,"2020-04-12"
"CHE",6,3.78109452736318,4.43181818181818,73,"2020-04-19"
"CHL",2,5.05555555555556,5.58333333333333,12,"2020-04-01"
"CHL",3,5.23188405797101,4.89130434782609,27,"2020-04-04"
"CHL",4,4.76190476190476,5.35714285714286,9,"2020-04-07"
"CHN",1,4.56410256410256,5.15384615384615,17,"2020-03-31"
"CHN",2,3.05555555555556,3.91666666666667,12,"2020-04-01"
"CHN",3,4.02564102564103,4.30769230769231,17,"2020-04-04"
"CHN",4,4.56140350877193,4.92105263157895,22,"2020-04-07"
"COL",1,5.10416666666667,5.09375,35,"2020-03-31"
