"iso3c","day","deaths","cases"
"AFG",2020-01-22,0,0
"ALB",2020-01-22,0,0
"DZA",2020-01-22,0,0
"AND",2020-01-22,0,0
"AGO",2020-01-22,0,0
"ATG",2020-01-22,0,0
"ARG",2020-01-22,0,0
"ARM",2020-01-22,0,0
"AUT",2020-01-22,0,0
"AZE",2020-01-22,0,0
"BHS",2020-01-22,0,0
"BHR",2020-01-22,0,0
"BGD",2020-01-22,0,0
"BRB",2020-01-22,0,0
"BLR",2020-01-22,0,0
"BEL",2020-01-22,0,0
"BLZ",2020-01-22,0,0
"BEN",2020-01-22,0,0
"BTN",2020-01-22,0,0
"BOL",2020-01-22,0,0
"BIH",2020-01-22,0,0
"BWA",2020-01-22,0,0
"BRA",2020-01-22,0,0
"BRN",2020-01-22,0,0
"BGR",2020-01-22,0,0
"BFA",2020-01-22,0,0
"MMR",2020-01-22,0,0
"BDI",2020-01-22,0,0
"CPV",2020-01-22,0,0
"KHM",2020-01-22,0,0
"CMR",2020-01-22,0,0
"CAF",2020-01-22,0,0
"TCD",2020-01-22,0,0
"CHL",2020-01-22,0,0
"COL",2020-01-22,0,0
"COM",2020-01-22,0,0
"COG",2020-01-22,0,0
"COD",2020-01-22,0,0
"CRI",2020-01-22,0,0
"CIV",2020-01-22,0,0
"HRV",2020-01-22,0,0
"CUB",2020-01-22,0,0
"CYP",2020-01-22,0,0
"CZE",2020-01-22,0,0
"DNK",2020-01-22,0,0
"DJI",2020-01-22,0,0
"DMA",2020-01-22,0,0
"DOM",2020-01-22,0,0
"ECU",2020-01-22,0,0
"EGY",2020-01-22,0,0
"SLV",2020-01-22,0,0
"GNQ",2020-01-22,0,0
"ERI",2020-01-22,0,0
"EST",2020-01-22,0,0
"SWZ",2020-01-22,0,0
"ETH",2020-01-22,0,0
"FJI",2020-01-22,0,0
"FIN",2020-01-22,0,0
"FRA",2020-01-22,0,0
"GAB",2020-01-22,0,0
"GMB",2020-01-22,0,0
"GEO",2020-01-22,0,0
"DEU",2020-01-22,0,0
"GHA",2020-01-22,0,0
"GRC",2020-01-22,0,0
"GRD",2020-01-22,0,0
"GTM",2020-01-22,0,0
"GIN",2020-01-22,0,0
"GNB",2020-01-22,0,0
"GUY",2020-01-22,0,0
"HTI",2020-01-22,0,0
"VAT",2020-01-22,0,0
"HND",2020-01-22,0,0
"HUN",2020-01-22,0,0
"ISL",2020-01-22,0,0
"IND",2020-01-22,0,0
"IDN",2020-01-22,0,0
"IRN",2020-01-22,0,0
"IRQ",2020-01-22,0,0
"IRL",2020-01-22,0,0
"ISR",2020-01-22,0,0
"ITA",2020-01-22,0,0
"JAM",2020-01-22,0,0
"JPN",2020-01-22,0,2
"JOR",2020-01-22,0,0
"KAZ",2020-01-22,0,0
"KEN",2020-01-22,0,0
"KIR",2020-01-22,0,0
"KOR",2020-01-22,0,1
"XXK",2020-01-22,0,0
"KWT",2020-01-22,0,0
"KGZ",2020-01-22,0,0
"LAO",2020-01-22,0,0
"LVA",2020-01-22,0,0
"LBN",2020-01-22,0,0
"LSO",2020-01-22,0,0
"LBR",2020-01-22,0,0
"LBY",2020-01-22,0,0
"LIE",2020-01-22,0,0
"LTU",2020-01-22,0,0
"LUX",2020-01-22,0,0
"MDG",2020-01-22,0,0
"MWI",2020-01-22,0,0
"MYS",2020-01-22,0,0
"MDV",2020-01-22,0,0
"MLI",2020-01-22,0,0
"MLT",2020-01-22,0,0
"MHL",2020-01-22,0,0
"MRT",2020-01-22,0,0
"MUS",2020-01-22,0,0
"MEX",2020-01-22,0,0
"FSM",2020-01-22,0,0
"MDA",2020-01-22,0,0
"MCO",2020-01-22,0,0
"MNG",2020-01-22,0,0
"MNE",2020-01-22,0,0
"MAR",2020-01-22,0,0
"MOZ",2020-01-22,0,0
"NAM",2020-01-22,0,0
"NPL",2020-01-22,0,0
"NLD",2020-01-22,0,0
"NZL",2020-01-22,0,0
"NIC",2020-01-22,0,0
"NER",2020-01-22,0,0
"NGA",2020-01-22,0,0
"MKD",2020-01-22,0,0
"NOR",2020-01-22,0,0
"OMN",2020-01-22,0,0
"PAK",2020-01-22,0,0
"PAN",2020-01-22,0,0
"PNG",2020-01-22,0,0
"PRY",2020-01-22,0,0
"PER",2020-01-22,0,0
"PHL",2020-01-22,0,0
"POL",2020-01-22,0,0
"PRT",2020-01-22,0,0
"QAT",2020-01-22,0,0
"ROU",2020-01-22,0,0
"RUS",2020-01-22,0,0
"RWA",2020-01-22,0,0
"KNA",2020-01-22,0,0
"LCA",2020-01-22,0,0
"VCT",2020-01-22,0,0
"WSM",2020-01-22,0,0
"SMR",2020-01-22,0,0
"STP",2020-01-22,0,0
"SAU",2020-01-22,0,0
"SEN",2020-01-22,0,0
"SRB",2020-01-22,0,0
"SYC",2020-01-22,0,0
"SLE",2020-01-22,0,0
"SGP",2020-01-22,0,0
"SVK",2020-01-22,0,0
"SVN",2020-01-22,0,0
"SLB",2020-01-22,0,0
"SOM",2020-01-22,0,0
"ZAF",2020-01-22,0,0
"SSD",2020-01-22,0,0
"ESP",2020-01-22,0,0
"LKA",2020-01-22,0,0
"SDN",2020-01-22,0,0
"SUR",2020-01-22,0,0
"SWE",2020-01-22,0,0
"CHE",2020-01-22,0,0
"SYR",2020-01-22,0,0
"TWN",2020-01-22,0,1
"TJK",2020-01-22,0,0
"TZA",2020-01-22,0,0
"THA",2020-01-22,0,4
"TLS",2020-01-22,0,0
"TGO",2020-01-22,0,0
"TTO",2020-01-22,0,0
"TUN",2020-01-22,0,0
"TUR",2020-01-22,0,0
"USA",2020-01-22,0,1
"UGA",2020-01-22,0,0
"UKR",2020-01-22,0,0
"ARE",2020-01-22,0,0
"GBR",2020-01-22,0,0
"URY",2020-01-22,0,0
"UZB",2020-01-22,0,0
"VUT",2020-01-22,0,0
"VEN",2020-01-22,0,0
"VNM",2020-01-22,0,0
"PSE",2020-01-22,0,0
"YEM",2020-01-22,0,0
"ZMB",2020-01-22,0,0
"ZWE",2020-01-22,0,0
"AUS",2020-01-22,0,0
"CAN",2020-01-22,0,0
"CHN",2020-01-22,17,548
"AFG",2020-01-23,0,0
"ALB",2020-01-23,0,0
"DZA",2020-01-23,0,0
"AND",2020-01-23,0,0
"AGO",2020-01-23,0,0
"ATG",2020-01-23,0,0
"ARG",2020-01-23,0,0
"ARM",2020-01-23,0,0
"AUT",2020-01-23,0,0
"AZE",2020-01-23,0,0
"BHS",2020-01-23,0,0
"BHR",2020-01-23,0,0
"BGD",2020-01-23,0,0
"BRB",2020-01-23,0,0
"BLR",2020-01-23,0,0
"BEL",2020-01-23,0,0
"BLZ",2020-01-23,0,0
"BEN",2020-01-23,0,0
"BTN",2020-01-23,0,0
"BOL",2020-01-23,0,0
"BIH",2020-01-23,0,0
"BWA",2020-01-23,0,0
"BRA",2020-01-23,0,0
"BRN",2020-01-23,0,0
"BGR",2020-01-23,0,0
"BFA",2020-01-23,0,0
"MMR",2020-01-23,0,0
"BDI",2020-01-23,0,0
"CPV",2020-01-23,0,0
"KHM",2020-01-23,0,0
"CMR",2020-01-23,0,0
"CAF",2020-01-23,0,0
"TCD",2020-01-23,0,0
"CHL",2020-01-23,0,0
"COL",2020-01-23,0,0
"COM",2020-01-23,0,0
"COG",2020-01-23,0,0
"COD",2020-01-23,0,0
"CRI",2020-01-23,0,0
"CIV",2020-01-23,0,0
"HRV",2020-01-23,0,0
"CUB",2020-01-23,0,0
"CYP",2020-01-23,0,0
"CZE",2020-01-23,0,0
"DNK",2020-01-23,0,0
"DJI",2020-01-23,0,0
"DMA",2020-01-23,0,0
"DOM",2020-01-23,0,0
"ECU",2020-01-23,0,0
"EGY",2020-01-23,0,0
"SLV",2020-01-23,0,0
"GNQ",2020-01-23,0,0
"ERI",2020-01-23,0,0
"EST",2020-01-23,0,0
"SWZ",2020-01-23,0,0
"ETH",2020-01-23,0,0
"FJI",2020-01-23,0,0
"FIN",2020-01-23,0,0
"FRA",2020-01-23,0,0
"GAB",2020-01-23,0,0
"GMB",2020-01-23,0,0
"GEO",2020-01-23,0,0
"DEU",2020-01-23,0,0
"GHA",2020-01-23,0,0
"GRC",2020-01-23,0,0
"GRD",2020-01-23,0,0
"GTM",2020-01-23,0,0
"GIN",2020-01-23,0,0
"GNB",2020-01-23,0,0
"GUY",2020-01-23,0,0
"HTI",2020-01-23,0,0
"VAT",2020-01-23,0,0
"HND",2020-01-23,0,0
"HUN",2020-01-23,0,0
"ISL",2020-01-23,0,0
"IND",2020-01-23,0,0
"IDN",2020-01-23,0,0
"IRN",2020-01-23,0,0
"IRQ",2020-01-23,0,0
"IRL",2020-01-23,0,0
"ISR",2020-01-23,0,0
"ITA",2020-01-23,0,0
"JAM",2020-01-23,0,0
"JPN",2020-01-23,0,2
"JOR",2020-01-23,0,0
"KAZ",2020-01-23,0,0
"KEN",2020-01-23,0,0
"KIR",2020-01-23,0,0
"KOR",2020-01-23,0,1
"XXK",2020-01-23,0,0
"KWT",2020-01-23,0,0
"KGZ",2020-01-23,0,0
"LAO",2020-01-23,0,0
"LVA",2020-01-23,0,0
"LBN",2020-01-23,0,0
"LSO",2020-01-23,0,0
"LBR",2020-01-23,0,0
"LBY",2020-01-23,0,0
"LIE",2020-01-23,0,0
"LTU",2020-01-23,0,0
"LUX",2020-01-23,0,0
"MDG",2020-01-23,0,0
"MWI",2020-01-23,0,0
"MYS",2020-01-23,0,0
"MDV",2020-01-23,0,0
"MLI",2020-01-23,0,0
"MLT",2020-01-23,0,0
"MHL",2020-01-23,0,0
"MRT",2020-01-23,0,0
"MUS",2020-01-23,0,0
"MEX",2020-01-23,0,0
"FSM",2020-01-23,0,0
"MDA",2020-01-23,0,0
"MCO",2020-01-23,0,0
"MNG",2020-01-23,0,0
"MNE",2020-01-23,0,0
"MAR",2020-01-23,0,0
"MOZ",2020-01-23,0,0
"NAM",2020-01-23,0,0
"NPL",2020-01-23,0,0
"NLD",2020-01-23,0,0
"NZL",2020-01-23,0,0
"NIC",2020-01-23,0,0
"NER",2020-01-23,0,0
"NGA",2020-01-23,0,0
"MKD",2020-01-23,0,0
"NOR",2020-01-23,0,0
"OMN",2020-01-23,0,0
"PAK",2020-01-23,0,0
"PAN",2020-01-23,0,0
"PNG",2020-01-23,0,0
"PRY",2020-01-23,0,0
"PER",2020-01-23,0,0
"PHL",2020-01-23,0,0
"POL",2020-01-23,0,0
"PRT",2020-01-23,0,0
"QAT",2020-01-23,0,0
"ROU",2020-01-23,0,0
"RUS",2020-01-23,0,0
"RWA",2020-01-23,0,0
"KNA",2020-01-23,0,0
"LCA",2020-01-23,0,0
"VCT",2020-01-23,0,0
"WSM",2020-01-23,0,0
"SMR",2020-01-23,0,0
"STP",2020-01-23,0,0
"SAU",2020-01-23,0,0
"SEN",2020-01-23,0,0
"SRB",2020-01-23,0,0
"SYC",2020-01-23,0,0
"SLE",2020-01-23,0,0
"SGP",2020-01-23,0,1
"SVK",2020-01-23,0,0
"SVN",2020-01-23,0,0
"SLB",2020-01-23,0,0
"SOM",2020-01-23,0,0
"ZAF",2020-01-23,0,0
"SSD",2020-01-23,0,0
"ESP",2020-01-23,0,0
"LKA",2020-01-23,0,0
"SDN",2020-01-23,0,0
"SUR",2020-01-23,0,0
"SWE",2020-01-23,0,0
"CHE",2020-01-23,0,0
"SYR",2020-01-23,0,0
"TWN",2020-01-23,0,1
"TJK",2020-01-23,0,0
"TZA",2020-01-23,0,0
"THA",2020-01-23,0,4
"TLS",2020-01-23,0,0
"TGO",2020-01-23,0,0
"TTO",2020-01-23,0,0
"TUN",2020-01-23,0,0
"TUR",2020-01-23,0,0
"USA",2020-01-23,0,1
"UGA",2020-01-23,0,0
"UKR",2020-01-23,0,0
"ARE",2020-01-23,0,0
"GBR",2020-01-23,0,0
"URY",2020-01-23,0,0
"UZB",2020-01-23,0,0
"VUT",2020-01-23,0,0
"VEN",2020-01-23,0,0
"VNM",2020-01-23,0,2
"PSE",2020-01-23,0,0
"YEM",2020-01-23,0,0
"ZMB",2020-01-23,0,0
"ZWE",2020-01-23,0,0
"AUS",2020-01-23,0,0
"CAN",2020-01-23,0,0
"CHN",2020-01-23,18,643
"AFG",2020-01-24,0,0
"ALB",2020-01-24,0,0
"DZA",2020-01-24,0,0
"AND",2020-01-24,0,0
"AGO",2020-01-24,0,0
"ATG",2020-01-24,0,0
"ARG",2020-01-24,0,0
"ARM",2020-01-24,0,0
"AUT",2020-01-24,0,0
"AZE",2020-01-24,0,0
"BHS",2020-01-24,0,0
"BHR",2020-01-24,0,0
"BGD",2020-01-24,0,0
"BRB",2020-01-24,0,0
"BLR",2020-01-24,0,0
"BEL",2020-01-24,0,0
"BLZ",2020-01-24,0,0
"BEN",2020-01-24,0,0
"BTN",2020-01-24,0,0
"BOL",2020-01-24,0,0
"BIH",2020-01-24,0,0
"BWA",2020-01-24,0,0
"BRA",2020-01-24,0,0
"BRN",2020-01-24,0,0
"BGR",2020-01-24,0,0
"BFA",2020-01-24,0,0
"MMR",2020-01-24,0,0
"BDI",2020-01-24,0,0
"CPV",2020-01-24,0,0
"KHM",2020-01-24,0,0
"CMR",2020-01-24,0,0
"CAF",2020-01-24,0,0
"TCD",2020-01-24,0,0
"CHL",2020-01-24,0,0
"COL",2020-01-24,0,0
"COM",2020-01-24,0,0
"COG",2020-01-24,0,0
"COD",2020-01-24,0,0
"CRI",2020-01-24,0,0
"CIV",2020-01-24,0,0
"HRV",2020-01-24,0,0
"CUB",2020-01-24,0,0
"CYP",2020-01-24,0,0
"CZE",2020-01-24,0,0
"DNK",2020-01-24,0,0
"DJI",2020-01-24,0,0
"DMA",2020-01-24,0,0
"DOM",2020-01-24,0,0
"ECU",2020-01-24,0,0
"EGY",2020-01-24,0,0
"SLV",2020-01-24,0,0
"GNQ",2020-01-24,0,0
"ERI",2020-01-24,0,0
"EST",2020-01-24,0,0
"SWZ",2020-01-24,0,0
"ETH",2020-01-24,0,0
"FJI",2020-01-24,0,0
"FIN",2020-01-24,0,0
"FRA",2020-01-24,0,2
"GAB",2020-01-24,0,0
"GMB",2020-01-24,0,0
"GEO",2020-01-24,0,0
"DEU",2020-01-24,0,0
"GHA",2020-01-24,0,0
"GRC",2020-01-24,0,0
"GRD",2020-01-24,0,0
"GTM",2020-01-24,0,0
"GIN",2020-01-24,0,0
"GNB",2020-01-24,0,0
"GUY",2020-01-24,0,0
"HTI",2020-01-24,0,0
"VAT",2020-01-24,0,0
"HND",2020-01-24,0,0
"HUN",2020-01-24,0,0
"ISL",2020-01-24,0,0
"IND",2020-01-24,0,0
"IDN",2020-01-24,0,0
"IRN",2020-01-24,0,0
"IRQ",2020-01-24,0,0
"IRL",2020-01-24,0,0
"ISR",2020-01-24,0,0
"ITA",2020-01-24,0,0
"JAM",2020-01-24,0,0
"JPN",2020-01-24,0,2
"JOR",2020-01-24,0,0
"KAZ",2020-01-24,0,0
"KEN",2020-01-24,0,0
"KIR",2020-01-24,0,0
"KOR",2020-01-24,0,2
"XXK",2020-01-24,0,0
"KWT",2020-01-24,0,0
"KGZ",2020-01-24,0,0
"LAO",2020-01-24,0,0
"LVA",2020-01-24,0,0
"LBN",2020-01-24,0,0
"LSO",2020-01-24,0,0
"LBR",2020-01-24,0,0
"LBY",2020-01-24,0,0
"LIE",2020-01-24,0,0
"LTU",2020-01-24,0,0
"LUX",2020-01-24,0,0
"MDG",2020-01-24,0,0
"MWI",2020-01-24,0,0
"MYS",2020-01-24,0,0
"MDV",2020-01-24,0,0
"MLI",2020-01-24,0,0
"MLT",2020-01-24,0,0
"MHL",2020-01-24,0,0
"MRT",2020-01-24,0,0
"MUS",2020-01-24,0,0
"MEX",2020-01-24,0,0
"FSM",2020-01-24,0,0
"MDA",2020-01-24,0,0
"MCO",2020-01-24,0,0
"MNG",2020-01-24,0,0
"MNE",2020-01-24,0,0
"MAR",2020-01-24,0,0
"MOZ",2020-01-24,0,0
"NAM",2020-01-24,0,0
"NPL",2020-01-24,0,0
"NLD",2020-01-24,0,0
"NZL",2020-01-24,0,0
"NIC",2020-01-24,0,0
"NER",2020-01-24,0,0
"NGA",2020-01-24,0,0
"MKD",2020-01-24,0,0
"NOR",2020-01-24,0,0
"OMN",2020-01-24,0,0
"PAK",2020-01-24,0,0
"PAN",2020-01-24,0,0
"PNG",2020-01-24,0,0
"PRY",2020-01-24,0,0
"PER",2020-01-24,0,0
"PHL",2020-01-24,0,0
"POL",2020-01-24,0,0
"PRT",2020-01-24,0,0
"QAT",2020-01-24,0,0
"ROU",2020-01-24,0,0
"RUS",2020-01-24,0,0
"RWA",2020-01-24,0,0
"KNA",2020-01-24,0,0
"LCA",2020-01-24,0,0
"VCT",2020-01-24,0,0
"WSM",2020-01-24,0,0
"SMR",2020-01-24,0,0
"STP",2020-01-24,0,0
"SAU",2020-01-24,0,0
"SEN",2020-01-24,0,0
"SRB",2020-01-24,0,0
"SYC",2020-01-24,0,0
"SLE",2020-01-24,0,0
"SGP",2020-01-24,0,3
"SVK",2020-01-24,0,0
"SVN",2020-01-24,0,0
"SLB",2020-01-24,0,0
"SOM",2020-01-24,0,0
"ZAF",2020-01-24,0,0
"SSD",2020-01-24,0,0
"ESP",2020-01-24,0,0
"LKA",2020-01-24,0,0
"SDN",2020-01-24,0,0
"SUR",2020-01-24,0,0
"SWE",2020-01-24,0,0
"CHE",2020-01-24,0,0
"SYR",2020-01-24,0,0
"TWN",2020-01-24,0,3
"TJK",2020-01-24,0,0
"TZA",2020-01-24,0,0
"THA",2020-01-24,0,5
"TLS",2020-01-24,0,0
"TGO",2020-01-24,0,0
"TTO",2020-01-24,0,0
"TUN",2020-01-24,0,0
"TUR",2020-01-24,0,0
"USA",2020-01-24,0,2
"UGA",2020-01-24,0,0
"UKR",2020-01-24,0,0
"ARE",2020-01-24,0,0
"GBR",2020-01-24,0,0
"URY",2020-01-24,0,0
"UZB",2020-01-24,0,0
"VUT",2020-01-24,0,0
"VEN",2020-01-24,0,0
"VNM",2020-01-24,0,2
"PSE",2020-01-24,0,0
"YEM",2020-01-24,0,0
"ZMB",2020-01-24,0,0
"ZWE",2020-01-24,0,0
"AUS",2020-01-24,0,0
"CAN",2020-01-24,0,0
"CHN",2020-01-24,26,920
"AFG",2020-01-25,0,0
"ALB",2020-01-25,0,0
"DZA",2020-01-25,0,0
"AND",2020-01-25,0,0
"AGO",2020-01-25,0,0
"ATG",2020-01-25,0,0
"ARG",2020-01-25,0,0
"ARM",2020-01-25,0,0
"AUT",2020-01-25,0,0
"AZE",2020-01-25,0,0
"BHS",2020-01-25,0,0
"BHR",2020-01-25,0,0
"BGD",2020-01-25,0,0
"BRB",2020-01-25,0,0
"BLR",2020-01-25,0,0
"BEL",2020-01-25,0,0
"BLZ",2020-01-25,0,0
"BEN",2020-01-25,0,0
"BTN",2020-01-25,0,0
"BOL",2020-01-25,0,0
"BIH",2020-01-25,0,0
"BWA",2020-01-25,0,0
"BRA",2020-01-25,0,0
"BRN",2020-01-25,0,0
"BGR",2020-01-25,0,0
"BFA",2020-01-25,0,0
"MMR",2020-01-25,0,0
"BDI",2020-01-25,0,0
"CPV",2020-01-25,0,0
"KHM",2020-01-25,0,0
"CMR",2020-01-25,0,0
"CAF",2020-01-25,0,0
"TCD",2020-01-25,0,0
"CHL",2020-01-25,0,0
"COL",2020-01-25,0,0
"COM",2020-01-25,0,0
"COG",2020-01-25,0,0
"COD",2020-01-25,0,0
"CRI",2020-01-25,0,0
"CIV",2020-01-25,0,0
"HRV",2020-01-25,0,0
"CUB",2020-01-25,0,0
"CYP",2020-01-25,0,0
"CZE",2020-01-25,0,0
"DNK",2020-01-25,0,0
"DJI",2020-01-25,0,0
"DMA",2020-01-25,0,0
"DOM",2020-01-25,0,0
"ECU",2020-01-25,0,0
"EGY",2020-01-25,0,0
"SLV",2020-01-25,0,0
"GNQ",2020-01-25,0,0
"ERI",2020-01-25,0,0
"EST",2020-01-25,0,0
"SWZ",2020-01-25,0,0
"ETH",2020-01-25,0,0
"FJI",2020-01-25,0,0
"FIN",2020-01-25,0,0
"FRA",2020-01-25,0,3
"GAB",2020-01-25,0,0
"GMB",2020-01-25,0,0
"GEO",2020-01-25,0,0
"DEU",2020-01-25,0,0
"GHA",2020-01-25,0,0
"GRC",2020-01-25,0,0
"GRD",2020-01-25,0,0
"GTM",2020-01-25,0,0
"GIN",2020-01-25,0,0
"GNB",2020-01-25,0,0
"GUY",2020-01-25,0,0
"HTI",2020-01-25,0,0
"VAT",2020-01-25,0,0
"HND",2020-01-25,0,0
"HUN",2020-01-25,0,0
"ISL",2020-01-25,0,0
"IND",2020-01-25,0,0
"IDN",2020-01-25,0,0
"IRN",2020-01-25,0,0
"IRQ",2020-01-25,0,0
"IRL",2020-01-25,0,0
"ISR",2020-01-25,0,0
"ITA",2020-01-25,0,0
"JAM",2020-01-25,0,0
"JPN",2020-01-25,0,2
"JOR",2020-01-25,0,0
"KAZ",2020-01-25,0,0
"KEN",2020-01-25,0,0
"KIR",2020-01-25,0,0
"KOR",2020-01-25,0,2
"XXK",2020-01-25,0,0
"KWT",2020-01-25,0,0
"KGZ",2020-01-25,0,0
"LAO",2020-01-25,0,0
"LVA",2020-01-25,0,0
"LBN",2020-01-25,0,0
"LSO",2020-01-25,0,0
"LBR",2020-01-25,0,0
"LBY",2020-01-25,0,0
"LIE",2020-01-25,0,0
"LTU",2020-01-25,0,0
"LUX",2020-01-25,0,0
"MDG",2020-01-25,0,0
"MWI",2020-01-25,0,0
"MYS",2020-01-25,0,3
"MDV",2020-01-25,0,0
"MLI",2020-01-25,0,0
"MLT",2020-01-25,0,0
"MHL",2020-01-25,0,0
"MRT",2020-01-25,0,0
"MUS",2020-01-25,0,0
"MEX",2020-01-25,0,0
"FSM",2020-01-25,0,0
"MDA",2020-01-25,0,0
"MCO",2020-01-25,0,0
"MNG",2020-01-25,0,0
"MNE",2020-01-25,0,0
"MAR",2020-01-25,0,0
"MOZ",2020-01-25,0,0
"NAM",2020-01-25,0,0
"NPL",2020-01-25,0,1
