"iso3c","day","behave","gbp_cases"
"ALB",2020-03-21,-0.0573333333333333,15
"ALB",2020-03-22,-0.0476923076923077,13
"ALB",2020-03-24,0.300628272251309,191
"ALB",2020-03-25,0.36984375,128
"ALB",2020-03-26,0.294901960784314,51
"ALB",2020-03-27,0.159,20
"ALB",2020-03-28,0.2945,20
"ALB",2020-03-29,0.0875,8
"ALB",2020-03-30,0.145384615384615,13
"ALB",2020-03-31,0.125070422535211,71
"ALB",2020-04-01,0.185714285714286,35
"ALB",2020-04-02,0.133333333333333,12
"ALB",2020-04-03,0.0461904761904762,21
"ALB",2020-04-04,0.1528125,32
"ALB",2020-04-06,0.123428571428571,35
"ALB",2020-04-07,0.3024,25
"ARE",2020-03-21,-0.266538461538462,26
"ARE",2020-03-22,-0.323125,32
"ARE",2020-03-23,0.0517647058823529,17
"ARE",2020-03-26,0.164545454545455,44
"ARE",2020-03-27,0.0933333333333333,9
"ARE",2020-03-28,-0.00777777777777778,9
"ARE",2020-03-29,-0.307142857142857,14
"ARG",2020-03-20,0.170333333333333,30
"ARG",2020-03-21,0.0356603773584906,106
"ARG",2020-03-22,0.143333333333333,102
"ARG",2020-03-23,0.131176470588235,51
"ARG",2020-03-24,0.458,10
"ARG",2020-03-25,0.0604347826086957,23
"ARG",2020-03-26,0.485294117647059,17
"ARG",2020-03-27,0.404,35
"ARG",2020-03-28,0.395526315789474,228
"ARG",2020-03-29,0.315770925110132,227
"ARG",2020-03-30,0.472413793103448,29
"ARG",2020-03-31,0.26,11
"ARG",2020-04-02,0.351111111111111,18
"ARG",2020-04-03,0.027,10
"AUS",2020-03-21,-0.30008547008547,117
"AUS",2020-03-22,-0.348216560509554,314
"AUS",2020-03-23,-0.145815602836879,141
"AUS",2020-03-24,-0.131864406779661,59
"AUS",2020-03-25,-0.244545454545455,22
"AUS",2020-03-26,0.30609756097561,41
"AUS",2020-03-27,0.125121951219512,41
"AUS",2020-03-28,0.156290322580645,62
"AUS",2020-03-29,0.00777777777777779,27
"AUS",2020-03-30,0.328421052631579,19
"AUS",2020-03-31,0.154166666666667,12
"AUS",2020-04-01,0.174545454545455,11
"AUS",2020-04-02,0.332962962962963,27
"AUS",2020-04-04,0.3075,8
"AUS",2020-04-05,0.518181818181818,11
"AUS",2020-04-06,0.304285714285714,14
"AUS",2020-04-07,0.269,10
"AUT",2020-03-20,0.307678571428571,56
"AUT",2020-03-21,0.314022346368715,179
"AUT",2020-03-22,0.283725490196078,510
"AUT",2020-03-23,0.285648148148148,108
"AUT",2020-03-24,0.331136363636364,44
"AUT",2020-03-25,0.29975,40
"AUT",2020-03-26,0.319615384615385,26
