"iso3c","gini_disp","gini_mkt","gini_disp_se","gini_mkt_se"
"AFG",31.9,33.9333333333333,2.96666666666667,2.9
"AGO",49.95,53.2,3.1,3.375
"ALB",40.2666666666667,47.3,2.63333333333333,4.7
"AND",30.7,40.35,4.45,7.75
"ARG",37.6,39.4,1.4,3.4
"ARM",37.2,48.7,1.5,2.45
"AUS",32.425,47.975,1.15,1.6
"AUT",27.5333333333333,48.2666666666667,0.766666666666667,1.13333333333333
"BEL",25.9333333333333,48.0666666666667,0.733333333333333,1.06666666666667
"BEN",46.3,49.4,2.4,2.5
"BGD",35.1,38.65,2.65,2.95
"BGR",36.85,47.025,1.375,2.475
"BIH",38.8,47.8,3.1,5.6
"BLR",23.275,32.1,1.875,2.3
"BOL",42.425,42.15,1.225,2.75
"BRA",46.475,55.55,0.675,0.8
"BRB",42.5,44.5666666666667,3.3,4.16666666666667
"BTN",40.6333333333333,43.2333333333333,2.9,3
"BWA",57.9,63,3.1,3
"CAN",31.1,47.25,0.6,0.75
"CHE",28.7666666666667,40.4,1.03333333333333,1.4
"CHL",43.9333333333333,50.0666666666667,0.6,0.633333333333333
"CHN",40.8333333333333,40.9666666666667,1.3,1.6
"CIV",51.8,52.6,1.1,1
"COL",46.375,48.025,0.725,0.85
"CPV",49,52,2.8,3.1
"CRI",45.94,50.14,1.08,1.62
"CYP",30.2333333333333,49,1.9,3.76666666666667
"CZE",24.8666666666667,43.9666666666667,0.666666666666667,0.966666666666667
"DEU",29.1333333333333,52.2,0.633333333333333,0.933333333333333
"DJI",42.9,45.9,2.93333333333333,3.26666666666667
"DNK",25.8,48.025,0.65,0.875
"DOM",42.825,45.575,1.325,2
"ECU",42,43.8,1.4,2.65
"EGY",43.1,48.2333333333333,1.76666666666667,2.13333333333333
"ESP",33.9333333333333,51.0666666666667,0.733333333333333,0.966666666666667
"EST",31.8666666666667,46.7666666666667,0.9,1.33333333333333
"ETH",33.4,35.3,2.3,2.4
"FIN",25.65,49.15,0.65,0.95
"FRA",29.6,48.7666666666667,0.9,1.33333333333333
"GAB",40.7666666666667,42.7333333333333,3.7,3.96666666666667
"GBR",33,52.6,0.74,0.98
"GEO",39.05,48.525,1.25,1.6
"GHA",43.5,46.2,2.55,2.9
"GMB",44.1,46.6,3.2,3.4
"GRC",32.8,50.1333333333333,0.933333333333333,1.23333333333333
"GRL",33.85,54.5,2.525,4.85
"HKG",40.7,46.8,2.4,3.35
"HND",47.525,47.925,1.475,2.95
"HRV",29.6,45.3,1.66666666666667,3.1
"HUN",27.875,51.05,0.875,1.325
"IDN",47.2,43.6,1.7,1.8
"IRL",29.5,50.1,0.875,1.3
"IRN",37.6666666666667,41.8,1.86666666666667,2.9
"ISL",24.8,37.2,1,1.6
"ISR",35,47.025,0.85,1.075
"ITA",33.6,52.1666666666667,0.866666666666667,1.1
"JAM",40.05,42.05,2.05,2.7
"JPN",32,45.2,1.2,1.9
"KAZ",26.34,33.9,1.82,2.14
"KEN",46.1,49,3.1,3.4
"KGZ",33.075,40.275,1.65,1.9
"KOR",32.2333333333333,34.2333333333333,0.833333333333333,1.06666666666667
"LBR",36.7,38.9,2.7,2.85
"LCA",45.5,48.1,3.5,4.3
"LKA",48.55,45.2,2.3,2.35
"LSO",49.2,57.5666666666667,3.93333333333333,3.6
"LTU",35.4,53.4333333333333,1,1.53333333333333
"LUX",29.4333333333333,48.2666666666667,0.9,1.33333333333333
"LVA",34.9,47.4,1.375,2.475
"MDA",33.1,51.8,1.425,2.85
"MDV",38.8,40.85,3.15,3.35
"MEX",41.975,44.45,0.675,0.75
"MKD",33.2,56.4,1.76666666666667,3.43333333333333
"MLT",27.1,44.4,1.96666666666667,3.66666666666667
"MMR",33.8333333333333,35.8333333333333,3.4,3.46666666666667
"MNE",38.4,50,1.9,3.85
"MNG",34.15,36.6,2.25,2.425
"MOZ",47.3,50.4,1.9,2.2
"MUS",38.1333333333333,40.3666666666667,2.66666666666667,2.9
"MWI",45.85,48.4,2.65,2.7
"MYS",40.9,43.85,2.15,2.35
"NAM",65.05,68.55,3.1,3.05
"NLD",26.5333333333333,47.1333333333333,0.9,1.33333333333333
"NOR",25.55,44.725,0.75,1.1
"NZL",32.875,47.4,1.475,2.55
"PAK",34,35.8,2.2,2.5
"PAN",46.375,50.725,1.125,1.7
"PER",44.3,47.425,0.775,0.925
"PHL",41.2,45.4,2.4,2.4
"POL",28.8,46.575,0.7,0.9
"PRI",51.1,55.25,2.05,2.7
"PRT",32.9666666666667,51.3,1.33333333333333,2.3
"PRY",44.7,45.725,0.825,0.925
"PSE",36.35,38.75,2.6,2.85
"ROU",33.3,44.5666666666667,0.933333333333333,1.5
"RUS",33.475,44.425,0.85,1
"RWA",50.4,53.15,2.55,2.65
"SGP",38.6,43.4666666666667,1.36666666666667,1.9
"SLE",40.3,42.225,3,3.2
"SLV",38.2,39.9,1.35,2.825
"SMR",24.3,38.1,2.625,4.725
"SRB",33.575,50.875,1.05,1.375
"STP",37.5666666666667,40.0333333333333,3.33333333333333,3.4
"SUR",46.7,48.45,3.9,5.35
"SVK",23.7333333333333,39.7333333333333,0.766666666666667,1.13333333333333
"SVN",24.8,41.5,0.666666666666667,0.933333333333333
"SWE",26.2666666666667,51.0666666666667,0.8,1.4
"SWZ",59.45,55.8,3.8,3.65
"TGO",43.9,46.6,2.7,3
"THA",39.775,42.4,1.575,1.7
"TJK",43.7,38.3,2.9,3.3
"TON",37.7,41.7,3.2,3.4
"TUN",38.9,40.9,2.6,2.7
"TUR",40.425,43.775,1.35,1.775
"TWN",29.45,31.725,0.725,0.8
"TZA",44.4333333333333,41.2,2.36666666666667,2.4
"UGA",44.1,46.7,2.35,2.45
"UKR",27,22.125,1.875,2.725
"URY",35.95,46.025,0.7,0.825
"USA",38.1333333333333,50.9666666666667,0.566666666666667,0.733333333333333
"VEN",37.2,40.2,1.8,2.6
"VNM",34.65,40.3,1.975,2.15
"ZAF",59.9,68.7,1.5,1.8
"ZMB",55.8,59.5,2.8,3.1
"ZWE",46.8,49.6,3.3,3.56666666666667
NA,28.2,42.7,2.6,5.03333333333333
