"iso3c","socx_owd"
"AFG",22.04925301
"AGO",39.33543984
"ALB",32.51920183
"ARE",24.69143568
"ARG",42.635605
"ARM",26.49011794
"AUS",37.571746
"AUT",53.94075
"AZE",33.206079895
"BDI",41.22318685
"BEL",56.47861
"BEN",21.485704705
"BFA",25.11331382
"BGD",17.355344905
"BGR",36.726729
"BHR",33.66523993
"BIH",50.59104293
"BLR",40.56954802
"BOL",34.66741
"BRA",44.537235
"BRN",36.861490335
"BTN",43.667846005
"BWA",34.45401384
"CAF",17.98662505
"CAN",45.331562
"CHE",34.4922465
"CHL",24.527529
"CHN",23.769544
"CIV",26.10670557
"CMR",20.422185575
"COD",31.027379445
"COG",24.32370538
"COL",30.35211
"COM",22.613454555
"CPV",37.10603613
"CRI",21.171725
"CYP",48.450897685
"CZE",44.74359463
"DEU",48.713675
"DJI",35.98292593
"DNK",58.7108425
"DOM",18.063855
"DZA",38.937362465
"EGY",38.02894683
"ERI",37.225911965
"ESP",46.91553
"EST",43.722251165
"ETH",18.886822045
"FIN",55.678802
"FJI",31.364907615
"FRA",58.777785
"GAB",24.868696375
"GBR",50.81632
"GEO",32.162256295
"GHA",26.77346
"GIN",27.57214262
"GMB",28.37246994
"GNB",21.981101145
"GNQ",38.91272815
"GRC",56.475505
"HKG",18.889973
"HND",27.599879
"HRV",45.077761815
"HTI",31.0475615
"HUN",52.96436
"IDN",19.74141
"IND",31.790005
"IRL",59.969265
"IRN",23.4300095
"IRQ",48.274438415
"ISL",51.342075
"ISR",49.371485
"ITA",54.58705
"JOR",33.930413735
"JPN",41.839791
"KAZ",22.84913464
"KEN",32.36793283
"KGZ",37.288296095
"KHM",20.05765483
"KIR",91.27636831
"KOR",22.424967
"KWT",40.9319148
"LAO",22.54869964
"LBN",40.208576015
"LBR",32.602463155
"LBY",60.65267807
"LKA",27.99089279
"LSO",61.0894491
"LTU",42.07515663
"LVA",42.484933935
"MAR",35.52979663
"MDA",40.688571605
"MDG",15.68300824
"MDV",44.071916775
"MEX",28.308375
"MKD",32.38763396
"MLI",24.26225432
"MMR",19.79105562
"MNE",46.062574075
"MNG",41.25972796
"MOZ",34.796776795
"MRT",29.90010277
"MUS",28.092406835
"MWI",39.325429525
"MYS",30.29729881
"NAM",36.091580965
"NER",20.419353065
"NGA",29.16487031
"NIC",35.289685
"NLD",52.320525
"NOR",46.79335
"NPL",19.588406255
"NZL",35.982805
"OMN",36.30002386
"PAK",23.807345
"PAN",29.24754
"PER",20.86749
"PHL",20.458495
"PNG",29.75390241
"POL",47.21324
"PRT",53.461525
"PRY",20.6919175
"QAT",30.76384459
"ROU",39.686925
"RUS",38.1118065
"RWA",27.048295505
"SAU",37.293489325
"SDN",19.66297175
"SEN",29.137034095
"SGP",15.782129685
"SLB",54.171665545
"SLE",22.9905255
"SRB",47.01258193
"STP",49.53402245
"SUR",27.464158085
"SVK",40.528327705
"SVN",48.36837281
"SWE",51.890714
"SWZ",34.77934854
"SYC",40.227310935
"SYR",27.41704949
"TCD",28.854090735
"TGO",24.187484165
"THA",24.93627
"TJK",27.08694514
"TON",31.06196686
"TTO",39.095512315
"TUN",34.660798845
"TUR",38.71182
"TUV",97.84756804
"TZA",28.191807605
"UGA",22.559018475
"UKR",49.111342825
"URY",35.592875
"USA",44.399255
"UZB",31.834180585
"VCT",34.33586135
"VEN",40.8858035
"VNM",33.137036975
"VUT",26.44422844
"YEM",32.778797405
"ZAF",35.09526
"ZMB",24.69554833
"ZWE",33.100715755
