"iso3c","gdp_cap","unemp_nat","unemp_ilo","fertility","fem_labour","pop","pop65","pop_dens"
"ABW","24926.1679475326","9.74999999999999",NA,"1.8398",NA,"103994.6","12.0222249095189","576.316049382716"
"AFG","567.40472208425","6.92666673660279","11.3809092261574","5.1034","18.4519425308683","33741195","2.4694227054892","50.9502115478221"
"AGO","3558.99994521855","8.79000012079874","7.45818181471391","5.8191","50.036960519665","27482106.7","2.2861807432407","21.6567981248273"
"ALB","4567.75656679606","14.4869999885559","14.2345454476096","1.6583","42.0015930144863","2885364.1","12.3858582386631","105.431670721817"
"AND","42357.310973255",NA,NA,"1.27",NA,"79706.7",NA,"170.195035460993"
"ARE","38491.9944333109","2.11000001430512","2.34727272120389","1.5816","15.0782241371134","9256301.7","0.919132507024782","129.529221815451"
"ARG","10412.1547003205","7.98625004291534","8.2854545766657","2.302","41.9321345013196","42885600.8","10.6956186498166","15.5872522402367"
"ARM","3889.57617080929","17.9280000686645","18.1827271201394","1.7376","46.1578560180653","2916408.8","11.0012486978388","102.276692815049"
"ASM","9741.35030070505","9.19999980926514",NA,NA,NA,"55695.9",NA,"278.692777777778"
"ATG","13647.0995931666",NA,NA,"1.9955",NA,"92869.1","8.11449611124423","209.993181818182"
"AUS","54796.3742258377","5.59272727099332","5.60636364329945","1.8159","45.865659007959","23666624.9","14.6732553761905","3.05474601571005"
"AUT","48446.4545598985","5.17699995040894","5.23181815580888","1.468","46.5122515799581","8610859.1","18.6041945826704","103.967287682958"
"AZE","5861.95646288758","5.08299999237061","5.19000001387163","1.895","48.9154045424388","9570031.8","5.90524995563831","115.16471828725"
"BDI","227.862543363949","1.57000005245209","1.50454545562918","5.7484","52.0341706797605","10044559.2","2.1558191764945","384.713620629976"
"BEL","45436.8072446027","7.46300001144409","7.33090912212025","1.719","45.7530865361164","11231978","18.1018701905047","369.943769264641"
"BEN","1127.67300406535","1.84500002861023","2.39727271686901","5.0745","49.1901130236307","10459018.9","3.23888759111758","91.4321843837453"
"BFA","731.049539637736","5.58500003814697","5.3618181402033","5.4826","44.4366294422409","17894036.5","2.42817833772163","64.4164177225471"
"BGD","1001.04029370748","4.1324999332428","4.26181814887307","2.1484","28.2076789958322","155344176.7","5.04131385410051","1186.82031702133"
"BGR","7714.66961544578","9.04800004959106","8.74545457146384","1.536","46.4063097116535","7192142.6","19.7696763097681","66.4718588798821"
"BHR","21554.8365541101","2.11000001430512","1.57272729006681","2.0647","21.1380910206727","1397238.5","2.29569261914304","1771.66695218182"
"BHS","28235.8209732507","12.8775001764298","12.8972728035667","1.7954","48.1327697578066","372492.4","6.70020833328458","37.0234432234432"
"BIH","5339.93807743001","24.5630000114441","23.861818226901","1.2932","39.2384592887448","3478841.2","14.9649061702016","68.3320572916667"
"BLR","6434.1174638035","2.61222226089901","5.6745455048301","1.5821","49.5173395078599","9475952","14.3579143113906","46.72320364963"
"BLZ","4235.39394352196","7.5539999961853","7.61818179217252","2.4701","37.9058774107595","356830.8","4.41165452363675","15.4803205221881"
"BMU","93806.3613857517","7.63249969482422",NA,"1.622",NA,"64623.6",NA,"1197.96090534979"
"BOL","2297.79974187639","2.93111109733582","3.09454547275196","2.9299","42.7604878631107","10784875.2","6.70794098434816","9.88088371949906"
"BRA","11422.4819619044","9.42888895670573","9.66000006415627","1.7558","42.7717630649158","203530262.1","7.94301629479224","24.2511836631382"
"BRB","15929.172937258","10.0589999198914","11.0009091117165","1.6331","49.3357880573088","284895.8","14.595643489257","661.99819121447"
"BRN","33558.10888521","7.97749984264374","7.55454544587569","1.9224","41.9148484453957","411694","4.10848046335599","77.6650853889943"
"BTN","2755.43933203239","2.75833332538605","2.69454544240778","2.0832","41.82367539902","723731.7","5.65956901144467","18.8679908012614"
"BWA","7501.41578638596","20.2350006103516","17.6590909090909","2.957","48.1368361743885","2123681.9","3.80689690693325","3.71196199640432"
"CAF","403.30476417419",NA,"4.27727278796109","4.9558","45.5221170762074","4519238.3","2.89730916254154","7.21392839434831"
"CAN","49907.5413925433","7.09454549442638","7.09636363116178","1.55895","47.2059122714197","35659508","15.8465019786298","3.95340773879788"
"CHE","76643.1317972132","4.68800005912781","4.7118182182312","1.522","46.3443075530003","8220934.6","17.8812183898058","207.044236581346"
"CHL","14376.5905669422","7.00199999809265","7.4127273126082","1.7628","41.3085899722846","17935698.3","10.510721871777","23.9704164268205"
"CHN","6345.59367511931","4.16249999403953","4.56363634629683","1.661","43.8999513599312","1368090500","9.43049526152515","144.810839187763"
"CIV","1423.7454966889","4.33499991893768","4.33090907877142","4.8396","39.0619990088302","23011608","2.84038667946015","71.4184262753319"
"CMR","1409.09235642312","3.82000005245208","3.62272726405751","4.8109","46.9653852488063","23037562","2.76562122683606","48.0678170078437"
"COD","387.931090601914","4.48999977111816","4.31727270646529","6.2189","48.4549579102763","75275710.1","3.01317725121159","32.639898350524"
"COG","2866.48871968731","10","10.4390909888528","4.5936","49.0525527370328","4811117.5","2.59319351803523","13.9029337888401"
"COL","7297.76888153875","9.33799982070922","9.89272707158868","1.8795","42.9135421311115","47503042.3","7.60389664796807","42.5307676130389"
"COM","1365.63937784036","8.14000034332275","7.7109091498635","4.4511","37.2612496111458","769114.3","2.9450676071445","408.397934205027"
"CPV","3539.08794103153","15.5359998703003","11.8072726509788","2.4064","42.39119164125","521385","4.7590367517443","128.588778604907"
"CRI","9149.01280495626","9.17800016403199","9.89636377854782","1.8126","38.8660733201325","4818007.2","8.54556725892243","93.8601884493189"
"CUB","6298.08936428991","2.5477778116862","2.58818183161996","1.656","38.950380296095","11297999.5","13.9575493600679","107.704045421479"
"CUW",NA,"12.1119998931885",NA,"1.9",NA,"155594.9","15.0418425165001","349.976976976977"
"CYM","74089.5788784325","5.81333327293396",NA,NA,NA,"61108.5",NA,"252.841203703704"
"CYP","29593.108678075","11.2230000495911","10.8581818667325","1.3646","45.7546258349647","1156733.4","12.6930472952603","124.684451659452"
"CZE","21570.9642367502","5.01700005531311","4.82818187366832","1.569","44.1004128041317","10552952.9","17.6950710690832","136.487898916817"
"DEU","45134.4535602881","4.73900001049042","4.70000000433488","1.486","46.1210233175154","81679686.7","21.0987675626101","233.630509391727"
"DJI","1343.26872994437","26.0599994659424","11.3654547604648","2.9626","39.303353504155","906367.9","4.24634154404072","38.7792110056562"
"DMA","6879.35199209034",NA,NA,NA,NA,"71224.1",NA,"94.878962962963"
"DNK","60896.5815436382","6.58800001144409","6.50363636016846","1.739","47.1808477424952","5675276.5","18.5694227469758","139.726643480766"
"DOM","6587.97622734003","6.50300002098083","6.72090907530351","2.4136","38.8272975931891","10221132.1","6.49370133930295","210.382858391407"
"DZA","4676.1637482616","10.7374999523163","10.9872727827592","2.9884","19.0282209806002","39403671.5","5.88647869972807","16.3738178430722"
"ECU","5137.54618175073","3.67399997711182","3.90727270733226","2.5093","39.6370413220148","16133492.9","6.58964850845453","64.4052839963494"
"EGY","2740.57514838938","11.8311111662123","11.5154544656927","3.3605","22.7216376016164","91468589.9","5.05505362427403","90.8910906848382"
"ERI","519.423500778277",NA,"6.70272731781006","4.2618","46.1427910134918","3192203.5","4.04196918491638","32.7969834983498"
"ESP","30880.3988925086","20.4829999923706","20.0472727688876","1.31","45.8250421616761","46664698.1","18.4055743374526","93.2481041262781"
"EST","17710.8180647755","8.35699996948244","8.18454543027012","1.605","48.7098171716512","1321160.8","18.6861312988859","30.6370991309297"
"ETH","468.770147492001","2.25","2.25272724845193","4.628","46.1917019262473","99612917.2","3.42675513081689","86.9847246848425"
"FIN","47080.2596679135","8.16000003814697","8.13090909611095","1.643","48.0698968730854","5458625.8","19.81517438018","17.938751638269"
"FJI","4227.80834588687","6.56199998855591","4.36000000346791","2.778","33.9536601597919","871231.8","5.11986872329069","47.5726144864076"
"FRA","42097.8280806392","9.45399999618529","9.37909091602672","1.957","47.6594190339539","66249937.1","18.6169132608274","120.828317011339"
"FRO","48530.2338492813",NA,NA,"2.49",NA,"48106.2",NA,"34.414517669532"
"FSM","2777.9097089257","8.85999965667725",NA,"3.2245",NA,"108126.3","3.53921612576803","153.563174603175"
"GAB","9253.11238244435","20.3899993896484","20.1836360584606","4.0571","40.2203479901338","1907156.4","3.74523826140843","7.28709201692087"
"GBR","41576.9268487143","5.95200002193451","5.80636364763433","1.805","46.4556234871587","64853930.3","17.6970191061242","267.158533460092"
"GEO","4116.9449868162","16.7630000114441","16.3345454822887","2.0177","45.4451716299594","3733658.7","14.4540722603202","65.3179362468946"
"GHA","1623.84221027603","4.62999999523163","5.35818178003485","4.0577","46.7280340851025","27563347.8","2.98102343263789","119.742375943668"
"GIB",NA,NA,NA,NA,NA,"33688",NA,"3368.65555555556"
"GIN","780.665406778831",NA,"4.35181812806563","4.9763","54.3519906322377","11373209.5","2.94182106791787","45.6530689854758"
"GMB","780.923592117879","9.78999996185303","9.29818188060414","5.3952","43.6869930410122","2061080.8","2.64148375195766","200.517149758454"
"GNB","587.403269010254",NA,"3.00363633849404","4.7367","47.8253066696433","1717427.9","2.72704047704471","60.2708906274696"
"GNQ","14311.3597369492",NA,"8.35272719643333","4.8191","37.1274115123904","1147108","2.60793875111603","40.0677124183007"
"GRC","23496.4576278955","21.5500000953674","21.1236365058205","1.357","43.464893663779","10893045.9","20.5799085778712","84.6593310921472"
"GRD","8042.50492665837","23.8666667938233",NA,"2.1388",NA,"109173.8","9.66181948078298","320.174836601307"
"GRL","45828.6646996959","9.41666682561239",NA,"2.0625",NA,"56410.3",NA,"0.137485415736116"
"GTM","3154.89605105024","2.96000000834465","2.91818180951205","3.0739","34.0419693124233","15434694.4","4.5326243801309","142.821656090581"
"GUM","31562.1144564713","9.29999998637608","8.12181819568981","2.3923","40.8261690091402","162270.2","8.69912224753895","299.466666666667"
"GUY","5307.91811278431","14.0200004577637","13.4563636779785","2.5461","37.3174407135405","765531.7","5.62812598699478","3.87918098947309"
"HKG","35888.083277155","3.38666666878594","3.57454547015103","1.1625","48.3145673724729","7263230","15.0267728352677","6891.52380952381"
"HND","2066.7754970711","5.4829999923706","5.82727280530063","2.6425","36.0343603182627","9033930.5","4.33348900132551","80.0321625405905"
"HRV","14561.9437437099","13.1310002326965","12.5927274010398","1.451","46.042953547149","4199326.5","19.1273536893429","74.8473750432424"
"HTI","1243.40055551186","14.1000003814697","14.1245454441417","3.14","47.9056016501548","10615438.4","4.69011266331909","382.564533946138"
"HUN","14830.8367638831","7.43200001716614","7.15272725712169","1.417","45.7791172338256","9864338.4","17.585418529528","108.594559984419"
"IDN","3771.87921362683","4.43300008773804","4.40363645553589","2.3944","38.4031383418503","256521061.1","5.4092065528352","139.02613029479"
"IMN","82901.1821513788","2.63749998807907",NA,NA,NA,"84052",NA,"147.355945419103"
"IND","1727.41738670245","3.93250000476837","5.67454546148127","2.3468","21.0233436647051","1301915891.1","5.63128838138358","435.474698032902"
"IRL","60845.6346243603","10.6599998474121","10.229999889027","1.876","45.3776921949486","4708736.4","12.5945861860236","67.988135675231"
"IRN","6385.75171235598","11.8829998970032","11.7600001421842","2.0067","18.0414522094567","78132939","5.72179447508305","47.6446624698817"
"IRQ","5359.49785861782","10.5975000858307","10.7500000433488","3.9998","14.530972153145","34740534.5","3.23305261808045","78.8438058157508"
"ISL","47362.9409326971","4.67800004482269","4.70818187973716","1.883","47.2715282609324","333185.9","13.5292390494427","3.29095822489904"
"ISR","33039.9989729541","5.66499993801117","5.5690908648751","3.058","46.9623588530307","8315130","11.2119724057916","380.454405422058"
"ITA","34952.7709093305","10.7559997558594","10.6254543824629","1.366","42.1582381740083","60183831.3","21.7434415055821","204.289590055106"
"JAM","4756.22797554151","12.3139999866486","11.9581817713651","2.0502","45.3684622048847","2881361.2","8.52118295797487","265.367118087617"
"JOR","3434.48701830764","14.3679998397827","14.352727283131","3.1449","17.8630441819765","8911093.1","3.74038646743649","98.8826775299742"
"JPN","46802.6845718677","3.56200001239776","3.50818183205344","1.414","42.798768288495","127196833.9","25.4808615008463","349.246580704161"
"KAZ","10436.3692562451","5.11499996185303","5.19999998266047","2.717","48.5158094138816","17415976.2","6.98312681931428","6.40590061447157"
"KEN","1084.61068787615","2.75999999046326","2.7945454120636","3.8533","48.4675644425042","47289069.1","2.12251978183432","82.0568885609087"
"KGZ","1003.90822008169","7.57555558946397","7.73090908744118","3.16","40.4242924687998","5913840","4.41289605880404","30.5191750666203"
